DATE,A,B,C
2023-10-06,0,0,0
2023-10-07,10.28,5.78,6.04
2023-10-08,0,0,13.62
2023-10-09,8.96,7.84,5.8
2023-10-10,7.28,6.16,4.91
2023-10-11,9.46,9.46,6.07
2023-10-12,9.26,11.12,4.38
2023-10-13,8.27,11,3.94
2023-10-14,8.39,7.84,4.67
2023-10-15,3.07,3.21,3.46
2023-10-16,7.06,4.48,4.15
2023-10-17,5.8,8.53,4.32
2023-10-18,8.63,8.21,4.6
2023-10-19,8.29,8.11,4.68
2023-10-20,8.43,11.37,3.21
2023-10-21,7.78,9.35,3.88
2023-10-22,5.05,2.92,2.8
2023-10-23,6.41,7.12,3.55
2023-10-24,8.38,7.28,3.62
2023-10-25,6.03,8.17,3.02
2023-10-26,8.28,9.4,2.91
2023-10-27,9.46,10.38,2.94
2023-10-28,9.44,9.58,5.81
2023-10-29,2.39,2.49,3.75
2023-10-30,5.75,7.55,3.72
2023-10-31,8.62,7.65,4.25
2023-11-01,8.7,6.75,3.4
2023-11-02,9.7,8.95,4.69
2023-11-03,9.06,8.42,3.99
2023-11-04,9.57,7.83,3.98
2023-11-05,3.26,3.86,3.18
2023-11-06,5.25,8,3.47
2023-11-07,8.69,7.66,4.13
2023-11-08,10.01,8.49,4.28
2023-11-09,8.77,8.23,4.67
2023-11-10,10.5,7.16,4.48
2023-11-11,7.54,5.48,5.01
2023-11-12,1.14,2.24,3.92
2023-11-13,1.02,2.13,2.94
2023-11-14,3.81,7.04,3.88
2023-11-15,6.16,6.03,3.81
2023-11-16,8.5,8.29,2.53
2023-11-17,8.59,8.83,3.56
2023-11-18,8.23,8.22,3.95
2023-11-19,3.22,3.71,3.11
2023-11-20,5.72,4.84,3.65
2023-11-21,7.07,8.62,3.86
2023-11-22,7.73,7.13,4.45
2023-11-23,6.95,8.68,4.15
2023-11-24,9.34,8.92,3.41
2023-11-25,8.14,6.57,2.51
2023-11-26,4.14,2.79,2.69
2023-11-27,5.44,4.29,3.62
2023-11-28,9.32,6.41,3.54
2023-11-29,7.74,7.53,2.08
2023-11-30,4.94,4.65,3.46
2023-12-01,6.89,8.42,3.12
2023-12-02,8.04,3.7,4.27
2023-12-03,3.21,3.46,2.1
2023-12-04,0,0,4.37
2023-12-05,0,2.35,2.83
2023-12-06,2.54,3.15,3.34
2023-12-07,3.99,5.01,3.63
2023-12-08,5.77,6.57,4.02
2023-12-09,8.68,7.33,4.36
2023-12-10,3.24,2.82,3.24
2023-12-11,4.91,4.74,3.6
2023-12-12,6.85,7.54,3.55
2023-12-13,6.93,6.74,3.89
2023-12-14,4.56,7.71,3.43
2023-12-15,7.04,7.21,4.4
2023-12-16,7.33,5.69,4.32
2023-12-17,2.63,3.27,2.08
2023-12-18,5.32,5.32,3.67
2023-12-19,7.27,7.65,4.02
2023-12-20,6.5,4.69,3.87
2023-12-21,5.81,5.35,3.12
2023-12-22,6.29,7.76,2.48
2023-12-23,4.98,7.15,4.91
2023-12-24,1.73,3.61,2.74
2023-12-25,2.73,3.85,1.95
2023-12-26,3.94,5.77,3.33
2023-12-27,7.1,8,4.01
2023-12-28,7.14,7.85,3.43
2023-12-29,7.95,9,3.48
2023-12-30,4.82,5.05,4.52
2023-12-31,0,0,0
2024-01-01,0,0,0
2024-01-02,0,0,0
2024-01-03,0,0,1.3
2024-01-04,7.71,8.08,3.55
2024-01-05,8.14,7.11,4.69
2024-01-06,7.58,7.38,4.3
2024-01-07,2.68,2.77,2.9
2024-01-08,4.23,5.56,3.22
2024-01-09,7.32,7.37,3.56
2024-01-10,8.87,7.39,3.84
2024-01-11,5.55,8.04,4.22
2024-01-12,7.01,8.32,3.02
2024-01-13,7.06,8.79,3.19
2024-01-14,2.25,3.51,1.34
2024-01-15,2.59,3.28,1.02
2024-01-16,1.65,3.02,1.02
2024-01-17,3.35,5.74,3
2024-01-18,6.79,5.21,3.45
2024-01-19,7.21,6.66,4.06
2024-01-20,0,0,5.42
2024-01-21,6.99,7.24,3.28
2024-01-22,1.43,2.54,2.76
2024-01-23,3.31,5.05,3.27
2024-01-24,3.37,6.77,3.13
2024-01-25,6.69,7.33,2.82
2024-01-26,7.5,6.65,2.72
2024-01-27,1.78,3.6,2.8
2024-01-28,1.25,2.03,2.38
2024-01-29,0.59,1.57,1.95
2024-01-30,3.83,5.33,1.98
2024-01-31,7.06,6.64,2.17
2024-02-01,6.53,4.97,2.83
2024-02-02,6.45,7.71,3.52
2024-02-03,7.96,8.95,2
2024-02-04,7.47,6.97,2.25
2024-02-05,3.42,2.42,1.94
2024-02-06,5.91,6.98,1.14
2024-02-07,7.81,8.62,2.86
2024-02-08,5.37,4.56,2.97
2024-02-09,6.86,7.89,2.67
2024-02-10,8.42,8.1,3.47
2024-02-11,8.2,6.53,3.88
2024-02-12,3.02,1.49,1.56
